,Name,Value,Prop,Goblin,Opponent
0,Pascal Siakam,21.0,Points,Standard,CLE
1,Darius Garland,22.5,Points,Standard,IND
2,Tyrese Haliburton,18.5,Points,Standard,CLE
3,Jarrett Allen,17.5,Points,Standard,IND
4,Myles Turner,16.5,Points,Standard,CLE
5,Isaac Okoro,11.5,Points,Standard,IND
6,Aaron Nesmith,13.5,Points,Standard,CLE
7,Georges Niang,11.0,Points,Standard,IND
8,Andrew Nembhard,8.5,Points,Standard,CLE
9,Jalen Smith,8.5,Points,Standard,CLE
10,Obi Toppin,7.5,Points,Standard,CLE
11,T.J. McConnell,9.5,Points,Standard,CLE
12,Aaron Nesmith,9.5,Points,Green,CLE
13,Darius Garland,29.5,Points,Red,IND
14,Jarrett Allen,14.5,Points,Green,IND
15,Jarrett Allen,19.5,Points,Red,IND
16,Pascal Siakam,24.5,Points,Red,CLE
17,Tyrese Haliburton,14.5,Points,Green,CLE
18,Tyrese Haliburton,24.5,Points,Red,CLE
19,Tyrese Maxey,28.5,Points,Standard,MIA
20,Bam Adebayo,20.5,Points,Standard,PHI
21,Kyle Lowry,8.0,Points,Standard,MIA
22,Terry Rozier,18.5,Points,Standard,PHI
23,Buddy Hield,11.5,Points,Standard,MIA
24,Jaylen Brown,28.5,Points,Standard,DET
25,Kristaps Porzingis,21.5,Points,Standard,DET
26,Anfernee Simons,22.5,Points,Standard,CHI
27,Nikola Vucevic,21.5,Points,Standard,POR
28,Deandre Ayton,19.5,Points,Standard,CHI
29,Toumani Camara,8.5,Points,Standard,CHI
30,Alex Caruso,12.5,Points,Standard,POR
31,Kris Murray,7.0,Points,Standard,CHI
32,Kris Murray,7.0,Points,Standard,CHI
33,Alex Caruso,9.5,Points,Green,POR
34,Alex Caruso,19.5,Points,Red,POR
35,Anfernee Simons,29.5,Points,Red,CHI
36,Deandre Ayton,14.5,Points,Green,CHI
37,Deandre Ayton,24.5,Points,Red,CHI
38,Nikola Vucevic,24.5,Points,Red,POR
